id,profileName,text,date,title,rating,images,helpful,Colour,Size,Style Name
R5T6ANR7MKREC,Abby,Always like,Reviewed in India on 3 September 2023,Always like,5,,0,Space Grey,256 GB,Wi-Fi
RRNBATSEE2TD8,Umakanta,The product is genuine and was in good condition.But it's box was a bit damaged.Better packaging is necessary for such costly items.,Reviewed in India on 22 July 2023,The product is genuine and good.,4,https://m.media-amazon.com/images/I/818DL9pwobL.jpg,8,,,
R1WJREAOTM16T4,SAHIL J,"JUST GOT IT TODAY AND PRETTY HAPPY WITH THE PURCHASE . THOUGHT KI IT WILL BE SUCH SMALL SCREEN AS PREVIOUSLY USING 12.9 , BUT ITS EXTREMELY HANDY AND GOOD FOR STUDENT LIKE ME WHO TAKES BASIC NOTES AND JUST VIDEO SURFING BUT STILL IF YOU HAVE THAT EXTRA 30K ILL SUGGEST YOU TO BUY 12.9",Reviewed in India on 18 July 2023,BEAST FOR DAILY UASGE,5,,6,,,
R115T7BXN3Q0ZW,VINEET MISHRA,"I have stopped using my laptop. This has become my primary device. I do competitive programming and watch Ott for hours. It Looks very sexy, Battery is good but could have been better. MY ONLY COMPLAINT IS, that I have iphone 13 which has oled display, which lacks LTPO but I feel has better display. I have used samsung smartphone in past and have seen Samsung S series tablet, both of which had Super Amoled, they lacked LTPO but have had far superior display with constant 120 Hz. This is just a simple LED panel, which kind of makes me very SAD because of the amount I paid. Together with magic keyboard, it cost me more around 1.09 Lakh. With that being said, it has LED display, feels like I only paid for apple logo. So, I would advise people, if you can find go for m1 version pro or Air(which is better for 90% people out there), there is literally no difference in m1 and m2 in day to day usage. AND My advise to Apple, if they ever read this, if u are so much into charging for every single feature you offer, better, take away all the faltu gimmick like LTPO or even 120 Hz from display & please offer genuine features like OLED or at least mini-LED(but mini-LED will drain more power) with better battery in ipad pro 11”, i don’t want to buy 12.9 for mni-Led, because people buy tablets for portablity, 11’’ inch is the right sweet spot size of pro tablets, just load it with every best feature for a tablet you got in your inventory, or soon you will loose the brand value you have earned over the years among your customers.",Reviewed in India on 23 November 2022,Except display quality for price Everything is brilliant,4,,128,,,
RIFDKKTS3785Z,V.Manjunadh,Very good fast with M2 chip stable and very useful device,Reviewed in India on 19 July 2023,Worth the money,5,,0,,,
R2QWTQA9LE6E9I,Ashraf ansari,Good product.,Reviewed in India on 16 July 2023,Nice,5,,0,,,
R2J9VGCFMZ1V90,Biswajyoti Deb,Good product as expected and light weight to carry,Reviewed in India on 27 June 2023,Happy with it,5,,3,,,
R8AIT7Z1GOETY,Hitesh J.,"Well! I bought the iPad and woah 🤯 I was amazed at both the features of the device and my capability to waste unnecessary money on fancy devices.The device has added a lot of value in my life , now I can sit in Starbucks and pretend to be a big shot. In approx one and a half lakh I have won the opportunity to look like a rich man and have lost the window to purchase Apple stocks that maybe can make me a little bit rich. But who cares as far as I Look rich, I am rich.",Reviewed in India on 28 March 2023,iPad is great. But have you tried not using it?,5,,28,,,
R2XNPWU9I6HO0W,Vikas jaiswal,Nice,Reviewed in India on 16 June 2023,Very good,5,,5,Silver,256 GB,Wi-Fi + Cellular
RHJLZKXXXMU1I,Dhruv Goyal,Good for study and office work,Reviewed in India on 22 May 2023,Great,5,,2,Space Grey,256 GB,Wi-Fi
R3PQCAF4GN1VRH,U-Foam P.,"It is what I wanted and what I ordered and paid the full price too no discounts. Yet the box was soiled I gave that a never mind, but when I opened the box I was disappointed. There was dust (big particles) inside the sealed box. I’d have expected far better storage for a premium product",Reviewed in India on 29 April 2023,Not the best unpacking experience,3,https://m.media-amazon.com/images/I/71+Zu2pMZTL.jpg,6,Space Grey,256 GB,Wi-Fi + Cellular
R2Z35SPJKAY4UV,Amit kumar pati,Good,Reviewed in India on 15 May 2023,Good,5,,0,,,
R1RE0BMA78ZW54,Daksh Bhardwaj,"It's a good ipad but just underwhelming when you look at other products sold by Apple that are much cheaper like ipad air or something , instead of going all in and buying a 1 lakh tablet you could just buy a 50-60k ipad air and use the remaining money for the new iPhone. Think smart , not hard",Reviewed in India on 31 March 2023,Not worth 90k but pretty good,5,"https://m.media-amazon.com/images/I/61Ud14K2E7L.jpg
https://m.media-amazon.com/images/I/719fPD1lwqL.jpg
https://m.media-amazon.com/images/I/71r4X-rjjoL.jpg",20,Space Grey,256 GB,Wi-Fi
R16OXUG6JH289Z,Amritvindra,Amazing product worth each penny,Reviewed in India on 20 May 2023,Fantastic product,5,,5,,,
RUTCJ0JMGPOT1,Debrup Dey,What a performance and battery life,Reviewed in India on 29 April 2023,Best performance,5,,1,Space Grey,256 GB,Wi-Fi
R3RHTLZURN4KJV,Ashish Katariya,I love this as my daily laptop. A good alternative to not just a laptop but also amazon kindle oasis. i mean if you can buy an ipad for as low as 40000 then whats point of spending 28000 on a device which just read books,Reviewed in India on 10 December 2022,Best tablet,4,,16,,,
RLKY2TR5I84MM,Akhilesh Tomar,Apple h yaar,Reviewed in India on 15 April 2023,iPad,5,,0,Silver,128 GB,Wi-Fi
RM4S7DHQJSI8H,Lakshay ,मैने आज आन लाइन क्लास लगाई,Reviewed in India on 10 April 2023,बहुत ही बढिया टेबलेट यह मेरा पहला एप्पल ङ्क्षसह है,5,,0,Space Grey,256 GB,Wi-Fi
R9H51BA3CGBOJ,Harsh,Absolutely amazing and power packed,Reviewed in India on 10 April 2023,Best in class,5,,1,Silver,128 GB,Wi-Fi
R2ZXU63BEAPZA1,Placeholder,"That's why it's said since Centuries  "" Speech is Silvern;! Silence is Golden"". I had no business in the first place to any Feedback whatsoever. Bitter Truth always hurts. Even you know this, so do I and so does the whole world. My Review contained Inappropriate Comments. I had primarily asked for a Refund so I could upgrade to the 12.1 Inch M2 iPad XDR PRO with XDR DISPLAY. At around 4 am that day, One of your very own Customer Care Executives who are Multi-faced and Multi-faceted, told me to wait 3 days for a decision on the Refund. I later discovered he had deliberately fooled me into raising my hopes for the Refund and then dashing them to the ground--tantalizing me, in other words. Perhaps, he didn't have the Courage to be Frank Enough and dismiss me abruptly as your other Customer Care Executive Smita did. Your Agreement with Apple should have been highlighted in the first place. But it was deliberately and carefully hidden. It surfaced only after Smita told me straight that your Tie-up with Apple rules out a Refund. Fine! No Problem! "" False, Misleading, Inauthentic Comments or Profane and Misleading "" is your Style of Business and Functioning.Not mine. I had been denied a Refund and immediately asked for Feedback.It was like rubbing salt in my wounds. I May not be as Qualified and Capable as you are to do Business,  but I can understand that if I had even the slightest hint that I wouldn't get a Refund at all, I would never have wasted my Time and Energy in giving you a Feedback or writing a Review. I don't know how you would have reacted if Customer Care Executives from the same Company tantalized you and then dismissed you like a Beggar under the pretext of Privacy Policy and some Unknown and Hidden Agreement of yours with Big Boss Apple!",Reviewed in India on 1 March 2023,"Buy the 12.1 Inch M2 iPad XDR PRO Display only, not it's small Brother.",1,,17,,,
R1OS6QO7E8CGLO,Zoheb,Very safe packaging and fast delivery.And the product is of course great. I love my iPad.,Reviewed in India on 2 March 2023,Love it!,5,https://m.media-amazon.com/images/I/71F3GVSj14L.jpg,6,Space Grey,256 GB,Wi-Fi
