"","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive","score"
"1",2,6,1,1,9,0,2,14,4,30,26
"2",0,1,0,0,1,1,1,1,1,2,1
"3",0,1,0,0,1,0,1,1,0,1,1
"4",1,2,0,1,1,1,2,1,2,1,-1
"5",0,0,0,0,0,0,0,0,0,0,0
"6",0,0,0,0,0,0,0,0,0,0,0
"7",0,8,1,1,5,2,2,6,2,11,9
"8",0,1,0,0,2,0,1,2,0,2,2
"9",0,0,0,0,0,0,0,1,0,1,1
"10",0,1,0,0,1,0,1,1,0,1,1
"11",0,0,0,0,0,0,0,0,0,0,0
"12",1,0,0,1,1,1,0,0,2,1,-1
"13",0,0,0,0,0,0,0,1,0,1,1
"14",0,0,0,0,0,0,0,0,0,0,0
"15",0,0,0,0,1,0,0,1,0,1,1
"16",0,0,0,0,0,0,0,0,0,0,0
"17",1,1,0,0,1,0,1,1,0,2,2
"18",1,1,0,0,2,0,1,2,0,3,3
"19",0,1,0,0,1,0,1,1,0,1,1
"20",0,0,0,0,0,0,0,0,0,0,0
"21",0,0,0,0,0,0,0,0,0,0,0
"22",0,1,0,1,1,1,1,1,0,1,1
"23",1,1,0,0,1,0,1,1,0,1,1
"24",0,1,0,0,1,0,0,1,0,2,2
"25",0,0,0,1,0,1,0,0,1,0,-1
"26",1,0,0,0,0,1,0,0,1,1,0
"27",3,2,1,1,2,0,1,3,2,4,2
"28",1,4,0,0,2,0,1,3,1,3,2
"29",0,1,0,0,1,0,1,1,0,3,3
"30",1,4,0,2,4,1,0,4,3,8,5
"31",0,1,0,0,0,0,0,0,0,1,1
"32",0,0,0,0,0,0,0,0,0,1,1
"33",0,0,0,0,0,0,0,0,0,0,0
"34",0,0,0,0,0,0,0,0,0,0,0
"35",0,0,0,0,1,0,0,0,0,1,1
"36",0,1,0,0,1,0,1,1,0,1,1
"37",0,0,0,0,0,0,0,0,0,0,0
"38",0,1,0,0,1,0,1,1,0,3,3
"39",0,0,0,0,0,0,0,0,0,0,0
"40",0,0,0,0,1,0,0,2,0,3,3
"41",1,2,0,0,2,0,1,3,0,3,3
"42",0,1,0,0,1,0,1,1,0,1,1
"43",4,7,6,2,5,3,5,6,11,14,3
"44",1,0,1,1,1,1,0,0,1,2,1
"45",0,1,0,0,2,0,1,2,0,2,2
"46",2,1,0,1,1,1,0,1,3,5,2
"47",0,0,0,0,0,0,0,0,0,0,0
"48",0,1,0,0,2,0,1,4,0,4,4
"49",0,4,0,0,2,0,1,2,1,3,2
"50",1,3,1,1,2,1,1,3,2,7,5
"51",0,0,0,0,0,0,0,0,0,0,0
"52",0,1,0,0,1,0,1,1,0,1,1
"53",0,1,0,0,1,0,1,1,0,2,2
"54",1,0,0,0,0,0,0,0,2,2,0
"55",0,0,0,0,0,0,0,1,1,3,2
"56",0,1,0,0,1,0,0,2,0,4,4
"57",0,0,0,0,1,0,0,1,0,1,1
"58",0,1,0,0,1,0,0,1,0,1,1
"59",0,0,0,0,0,0,0,0,0,0,0
"60",0,0,0,0,0,0,0,0,0,0,0
"61",1,1,0,0,1,0,0,0,1,3,2
"62",0,0,0,0,0,0,0,0,0,0,0
"63",0,0,0,0,0,0,0,0,0,0,0
"64",0,1,0,0,1,0,1,1,0,1,1
"65",0,0,0,0,0,0,0,0,1,2,1
"66",0,0,0,0,0,0,0,0,0,1,1
"67",0,0,0,0,0,0,0,0,0,0,0
"68",0,0,0,0,0,0,0,0,0,0,0
"69",0,1,0,0,1,0,0,1,0,1,1
"70",0,0,0,1,0,1,0,0,1,0,-1
"71",0,0,0,0,2,0,0,1,1,3,2
"72",6,8,2,3,5,5,1,9,10,14,4
"73",0,0,0,0,0,0,0,0,0,0,0
"74",2,4,1,0,5,2,1,6,2,13,11
"75",0,0,0,0,0,0,0,1,0,1,1
"76",0,0,0,0,0,0,0,0,0,0,0
"77",1,1,1,0,1,0,1,2,1,2,1
"78",0,0,0,0,1,0,0,1,0,1,1
"79",0,1,0,0,1,0,1,1,0,1,1
"80",0,0,0,0,0,0,0,0,0,0,0
"81",1,2,0,1,1,1,1,2,2,1,-1
"82",0,2,0,0,1,0,1,1,0,1,1
"83",0,0,0,0,0,0,0,0,0,0,0
"84",6,4,3,3,3,1,0,4,7,7,0
"85",2,0,2,0,0,3,0,0,3,2,-1
"86",1,0,0,0,0,0,0,0,1,0,-1
"87",0,0,0,0,0,0,0,0,0,0,0
"88",0,0,0,0,0,0,0,1,0,3,3
"89",1,1,1,1,1,0,0,1,0,1,1
"90",3,2,1,1,2,2,0,4,4,4,0
"91",0,0,0,0,1,0,0,1,0,1,1
"92",0,1,0,0,1,0,1,1,0,1,1
"93",0,0,0,0,1,0,0,0,0,1,1
"94",0,0,0,0,0,0,0,0,0,0,0
"95",0,0,0,0,0,0,0,0,0,0,0
"96",1,1,0,0,1,0,1,1,0,2,2
"97",0,2,0,0,2,0,1,3,0,4,4
"98",2,3,0,0,2,1,0,3,2,6,4
"99",1,1,0,0,1,0,0,2,1,1,0
"100",1,2,0,0,1,0,1,2,1,3,2
