"id","profileName","text","date","title","rating","images","helpful"
"R2J0H1I968ELMI","Pradityasinh Rana","Very good","Reviewed in India on 4 August 2023","Amazing",4,"",0
"R1ZNV4TL6T4JQR","Ashish",,"Reviewed in India on 5 August 2023","Very good book",5,"https://m.media-amazon.com/images/I/71jcLZ3n7FL.jpg
https://m.media-amazon.com/images/I/71vf3bfmVXL.jpg",0
"R21HH9C3GRR87G","diya",,"Reviewed in India on 23 March 2023","I recieved a used books with markings inside and it is also kind of dirty.",3,"https://m.media-amazon.com/images/I/61zZIxt8UnL.jpg",0
"R2F3SF276CROLC","Sohan Sh."," I spend my 2 hours with this book daily and I really learn more about marketing from every single page. Books are the only true friends in your hard journey, it gives you knowledge and motivation.","Reviewed in India on 27 January 2023","Good Book For Startup founders",5,"https://m.media-amazon.com/images/I/71nqjrtOBNL.jpg","5"
"RGFG2XJGWODJN","Amazon User","Great book, haven't completely read it yet, but the book quality was jot good, it has dirty fingerprints in it and from the side it is torn.","Reviewed in India on 6 January 2023","Great book, but poor product quality",3,"https://m.media-amazon.com/images/I/61OA8wK68+L.jpg",0
"R15L8DV0B4DPS3","SM","""Sidra book house "" best options to buy used books at affordable rate , this is my first order from that seller , and i will buy regularly if i get good deals and good books , they deliver book in amazing quality","Reviewed in India on 19 May 2022","Amazing price",4,"",1
"R3B3IM76KNHYPX","Nishu Bansal","Deadly recommend you guyz if you have time then definitely read this to increase your knowledge","Reviewed in India on 11 October 2022","Recommend to all of you guys",5,"",0
"R4FEBPMPXLET7","Kasi Viswanathan","I have been a steadfast disciple of celebrated author venerate Prof Philip Kotler for the past two decades.I believe this book is not limited to marketing discipline alone rather enlightener of impeccable practices to be pursued by the management and marketing professionals.I look at it as a structured approach covering almost all best in class methodologies towards efficiently conducting any businessIt's a compendium suited for customer centric firms looking for sustainable ways to grow their businesses","Reviewed in India on 27 November 2019","the bible of the entire business world",5,"","5"
"R3DI6M4PNIMX6V","Kindle Customer","Awesome book. Philip kotler is genius in marketing field.","Reviewed in India on 7 July 2022","Awesome book",5,"","2"
"R19MNJF7CC5773","Harmeet Singh","Great","Reviewed in India on 9 January 2022","Book is Great but packaging is not good",4,"",0
"R3PI6KWIYP4463","Priyavrat","Although being a used one, this book was ""as good as new"". A price of 389 rupees made it a total steal.Also its contents are extremely good.","Reviewed in India on 11 October 2020","Exhaustive Guide at a good price",4,"",0
"R38GLNLJU923OI","Ishu","Quality of this book is really nice","Reviewed in India on 27 September 2021","Positive",4,"https://m.media-amazon.com/images/I/71y3zJIZY1L.jpg",0
"R9SGW1EPWSNWA","Subham Kumar","This is one of the most detailed informative book that I have read on marketing but it's references are little outdated.","Reviewed in India on 24 December 2021","Little bit outdated",3,"","2"
"R2AOMYMXUK3KTJ","Mayank yadav","I got 2nd hand book from this seller please I’ll not say it is completely useless but it is a 2nd book and I didn’t paid for that but yeah don’t just buy something a lil there is a chance you will get something not as same as the picture so yea","Reviewed in India on 14 May 2022","Got a 2nd hand book",2,"",0
"R361ZFUI6CBWTC","Sunny","The Best marketing book available in the universe, well covered from  product development, value delivery and value proposition. very good case studies and examples.  this is very good book not only for the Marketing but or the people who is developing the new products or finding competitive advantage of your product, market research etc.","Reviewed in India on 22 July 2020","The best Marketing and product development Book",5,"",0
